level_0;level_1;ristorante;quartiere;Score;restaurant_x;neighborhood_x;address_x;country_x;country_code_x;type_x;cost_x;restaurant_y;neighborhood_y;address_y;country_y;country_code_y;type_y;cost_y
2402;678;1,000;1,000;2,000;Momofuku Ssäm Bar;East Village;;;;;;Momofuku Ssam Bar;East Village;207 2nd Ave;New York;NY;Asian;$$$
4532;806;1,000;1,000;2,000;Prem-on Thai;Greenwich Village;;;;;;Prem-On Thai;Greenwich Village;138 W Houston St;New York;NY;Thai;$$
2773;840;1,000;1,000;2,000;Rock Center Café;Midtown West;;;;;;Rock Center Cafe;Midtown West;2 W 50th St;New York;NY;American;$$$
3866;962;1,000;1,000;2,000;Terrace in the Sky;Upper West Side;;;;;;Terrace In The Sky;Upper West Side;400 West 119th Street;New York;NY;French;$$
3136;979;1,000;1,000;2,000;Three of Cups;East Village;;;;;;Three Of Cups;East Village;83 First Ave;New York;NY;Italian;$
3912;1020;1,000;1,000;2,000;Victor's Café;Midtown West;;;;;;Victor's Cafe;Midtown West;236 West 52 St;New York;NY;Cuban;$$$
3320;1051;1,000;1,000;2,000;Zabar's Café;Upper West Side;;;;;;Zabar's Cafe;Upper West Side;2245 Broadway;New York;NY;Deli;$
3326;1053;1,000;1,000;2,000;Zebú Grill;Upper East Side;;;;;;Zebu Grill;Upper East Side;305 E 92nd St;New York;NY;South American;$$
3445;1298;1,000;1,000;2,000;Benjamin Steakhouse;Midtown East;;;;;;Benjamin Steak House;Midtown East;;;;;
3449;1317;1,000;1,000;2,000;Bistro 61;Upper East Side;;;;;;Bistro 60;Upper East Side;;;;;
3761;2579;1,000;1,000;2,000;Papillon Bistro and Bar;Midtown East;;;;;;Papillon Bistro & Bar;Midtown East;;;;;
3897;3180;1,000;1,000;2,000;Tredici Steak;Chelsea;;;;;;Tre Dici Steak;Chelsea;;;;;
3950;10;1,000;1,000;2,000;44 and X Hell's Kitchen;Midtown West;;;;;;44 & X Hell's Kitchen;Midtown West;622 10th Ave;New York;NY;American;$$$
3968;1141;1,000;1,000;2,000;Alfredo's of Rome;Midtown West;;;;;;Alfredo of Rome;Midtown West;;;;;
3995;1190;1,000;1,000;2,000;Artichoke Basille's Pizza and Brewery;East Village;;;;;;Artichoke Basille's Pizza & Brewery;East Village;;;;;
3996;3995;1,000;1,000;2,000;Artichoke Basille’s Pizza and Brewery;East Village;;;;;;Artichoke Basille's Pizza and Brewery;East Village;;;;;
4088;1387;1,000;1,000;2,000;Brooklyn Diner USA;Midtown West;;;;;;Brooklyn Diner U.S.A.;Midtown West;;;;;
4165;268;1,000;1,000;2,000;Citrus Bar and Grill;Upper West Side;;;;;;Citrus Bar & Grill;Upper West Side;320 Amsterdam Ave;New York;NY;Asian;$$
4211;1691;1,000;1,000;2,000;Docks Oyster Bar and Seafood Grill;Midtown East;;;;;;Docks Oyster Bar & Seafood Grill;Midtown East;;;;;
4212;1692;1,000;1,000;2,000;Docks Oyster Bar and Seafood Grill;Upper West Side;;;;;;Docks Oyster Bar & Seafood Grill;Upper West Side;;;;;
4259;391;1,000;1,000;2,000;Flor de Mayo;Upper West Side;;;;;;Flor De Mayo;Upper West Side;484 Amsterdam Ave;New York;NY;Chinese;$
4271;408;1,000;1,000;2,000;Gabriel's Bar and Restaurant;Upper West Side;;;;;;Gabriel's Bar & Restaurant;Upper West Side;11 W 60th St;New York;NY;Italian;$$$
4280;1894;1,000;1,000;2,000;Gnocco Cucina and Tradizione;East Village;;;;;;Gnocco Cucina & Tradizione;East Village;;;;;
4315;2037;1,000;1,000;2,000;Inside Park at St. Bart’s;Midtown East;;;;;;Inside Park at St. Bart's;Midtown East;;;;;
4317;500;1,000;1,000;2,000;It's a Dominican Thing;Chelsea;;;;;;It's A Dominican Thing;Chelsea;144 W 19th St;New York;NY;Caribbean;$
4357;3666;1,000;1,000;2,000;La Sirène;SoHo;;;;;;La Sirene;SoHo;;;;;
4392;2269;1,000;1,000;2,000;Luke's Bar and Grill;Upper East Side;;;;;;Luke's Bar & Grill;Upper East Side;;;;;
4404;621;1,000;1,000;2,000;Maloney and Porcelli;Midtown East;;;;;;Maloney & Porcelli;Midtown East;37 E 50th St;New York;NY;Steakhouse;$$$$
4448;2401;1,000;1,000;2,000;Momofuku Bakery and Milk Bar;East Village;;;;;;Momofuku Bakery & Milk Bar;East Village;;;;;
4450;688;1,000;1,000;2,000;Morrell Wine Bar and Cafe;Midtown West;;;;;;Morrell Wine Bar & Cafe;Midtown West;1 Rockefeller Plaza;New York;NY;American;$$$
4460;2451;1,000;1,000;2,000;Naya Mezze and Grill;Midtown East;;;;;;Naya Mezze & Grill;Midtown East;;;;;
4504;2604;1,000;1,000;2,000;Payard Patisserie and Bistro;Upper East Side;;;;;;Payard Patisserie & Bistro;Upper East Side;;;;;
4544;2753;1,000;1,000;2,000;Restaurant Seo;Midtown East;;;;;;Restaurant SEO;Midtown East;;;;;
4570;2836;1,000;1,000;2,000;Sammy's Roumanian Steakhouse;Lower East Side;;;;;;Sammy's Roumanian Steak House;Lower East Side;;;;;
